version,checkpoint,role,file,sha256
v1,005000,best_saved,config.json,ad7e9baeafd1315920a96a1b4332a5bc1724d53bc2beea95e27eb1bcc1194e7a
v1,005000,best_saved,model.safetensors,0cc13bb05c69d32d9031cd6fcb7ea40a0ffcce0a5e1ffaa310c7258c8781c7ef
v1,005000,best_saved,policy_postprocessor.json,ff4666f11949008cb7722e8969ab913f652e6dccc6c06eab40006a464edd276f
v1,005000,best_saved,policy_postprocessor_step_0_unnormalizer_processor.safetensors,7a6ddb4d504a1809e41dc7584fb9a2243b719ada1e2a8e21f17f536ebd4eb39a
v1,005000,best_saved,policy_preprocessor.json,2bc9e2bd9e81234a6cd8aec2876193d61ed611842f395fbff1c6f3050417aed7
v1,005000,best_saved,policy_preprocessor_step_3_normalizer_processor.safetensors,95a480f843e517df1c782ef402b510a61e0a1d0e8eaf81a93ee43d821f1af709
v1,005000,best_saved,train_config.json,8da72a32c72ed93051f414ab084715d4bfddd15abf89e5f0eba614d0c1019331
v1,010000,candidate,config.json,ad7e9baeafd1315920a96a1b4332a5bc1724d53bc2beea95e27eb1bcc1194e7a
v1,010000,candidate,model.safetensors,5ce92e8560c546d2fd7acd503fb4d6b1aae135147b11b6993c500517a51412da
v1,010000,candidate,policy_postprocessor.json,ff4666f11949008cb7722e8969ab913f652e6dccc6c06eab40006a464edd276f
v1,010000,candidate,policy_postprocessor_step_0_unnormalizer_processor.safetensors,7a6ddb4d504a1809e41dc7584fb9a2243b719ada1e2a8e21f17f536ebd4eb39a
v1,010000,candidate,policy_preprocessor.json,2bc9e2bd9e81234a6cd8aec2876193d61ed611842f395fbff1c6f3050417aed7
v1,010000,candidate,policy_preprocessor_step_3_normalizer_processor.safetensors,95a480f843e517df1c782ef402b510a61e0a1d0e8eaf81a93ee43d821f1af709
v1,010000,candidate,train_config.json,8da72a32c72ed93051f414ab084715d4bfddd15abf89e5f0eba614d0c1019331
